Ticker,FloatShares
GROV,21338068
INAB,3878319
AMST,3596166
GLUE,46179294
KMTS,22230374
ETHMU,14142757
LINC,29207465
MODD,50156393
RILYZ,7470706
VERO,1468353
CMND,5224621
ENGN,21630020
RMCO,4879404
BCDA,4048166
XNCR,66995405
MBI,43970154
DOYU,301766550
CURV,36360690
ARQ,34150227
EBON,6539102
GYRE,16197779
XCH,15223161
CSPI,6829217
RLMD,26439200
SOHO,13876250
CBLL,20332406
ULBI,10010542
XYF,17165221
ACON,582369
ANIK,13721085
CBIO,4612192
XRPI,
PANG,0
CARL,9699190
WPRT,15149505
CNET,1909348
EYPT,60272255
MURA,12667710
WRAP,33809792
CV,3640707
ONEW,12261216
ADCT,88147128
BGSF,10072769
CDROW,15048821
RGNX,45778897
BCYC,61221040
SILC,5125409
LZM,28060627
VNCE,2513925
TANH,1261421
ORGO,59156549
EDSA,5355876
CADL,37776172
TTSH,28364582
ZENV,19825201
TZOO,7311851
CMTG,113031265
NVDG,
ALTO,68008413
GDHG,35278683
CGEM,36277825
DCTH,32627023
QD,95271748
NMG,30043226
PHUN,20085688
MKTW,1883543
ALTG,19338920
EXFY,58149956
ORN,36709404
ENTX,31820357
GLSI,6106442
GSRTR,
ICCC,5825744
AVD,26328464
GTIM,7877417
PULM,3652264
PYPD,6658734
MEC,15529808
LCUT,11596963
ASUR,25101389
THRY,40506193
EGHT,130529270
FORR,11295513
NERV,5437019
IMNM,79331942
IRD,27717061
MPAA,15162138
FORA,13193357
OESX,2869549
OTLY,28276342
SSTI,9424821
KINS,10592398
BCAX,30870781
SGHT,27363537
SNT,13465477
FGEN,3739018
PAMT,5247048
IFRX,62810788
AVBP,21604180
ARKR,1562559
LOMA,49809623
BVS,45420941
XLO,18365738
MTVA,8675298
MOGO,20065909
EGAN,17916355
NL,8298205
CXDO,13318989
HNNA,4628466
BOF,7206249
TYRA,33775001
SINT,2126517
INVE,19478230
PLBY,48382556
SYRE,51117607
ESLA,10346454
NMAX,30833868
SMHI,21783658
ANTA,2258695
EQS,5258674
VRDN,73552588
RILYT,6902336
MARPS,1611634
MTW,33622389
AMPY,32676739
LPCN,5261588
SIGA,40505437
CRNT,82627825
BNGO,3351919
OLMA,52832281
NNBR,43875985
FENC,23210691
ENTA,19863831
DDL,157014999
LFVN,10037465
MDXH,38406317
TCX,8814828
CODA,5579308
SXTP,3124474
TARA,33993200
CLAR,28797586
SGLY,4203490
LUCY,2214569
CLPT,24337663
PDFS,31527498
AALG,
SDA,63609821
QUAD,34746652
IMRN,5795588
OGI,90385623
PYPG,0
KRO,21472341
THS,49930360
LTRX,28971951
EDAP,37192038
CEPU,96648414
OEC,54299118
NPCE,23563059
PSFE,29895726
DJTWW,226288941
MATV,53158509
SGRP,11061464
AMTD,1168101
LE,11562683
OPAL,16800675
RDCM,12613376
TEO,430702638
BCTX,1732867
ATNI,9851214
BNED,8896180
AMCX,42415473
MSPR,5849725
AXTI,42154745
OPRT,31519532
IDN,18633206
MNDO,15879787
DLTH,17229496
YI,8458850
WHWK,18950786
CRVS,54386725
BWMX,17126244
HSON,2569543
SBFM,4552533
GAMB,19729904
MMLP,25921026
API,22560936
DRIO,37741598
SPT,50035100
GAIA,22557330
JG,5478736
CLMT,69219753
DAIO,8235737
XGN,14720606
BEEP,11468910
INSG,14442402
SMWB,47287304
PLSE,12596381
KRMD,43668217
SGC,10625338
LUXE,12083924
EB,87541308
HMR,57570075
PRTH,25203867
MAX,30000104
JTAI,2478472
DTSS,3599561
HOFT,10395900
WNW,1660847
NEXN,18219787
FARM,15567633
BOLD,14941700
RILYG,4500912
TBCH,11297903
CMCO,27886262
STOK,45915563
XBIT,19500664
KTTA,6837930
ALDX,58171505
RCUS,65427925
YALA,52827876
DRTS,50921290
DENN,49813386
BMEA,49879429
YQ,8596037
HEPS,275537387
RYAM,63680000
ALVO,108965245
IPM,5877154
TC,256084
BALY,4600210
DWSN,30931836
TSMG,0
RELL,11954335
MNOV,46477012
BLZE,49001885
NOA,25891186
ZBAO,18546277
CPSS,9130990
YTRA,46564836
WILC,3192748
PRE,8628987
ODV,101060552
TLF,7608499
POWW,88026014
ALLT,33914868
CANG,101115862
LUCD,40265325
DAVA,59453450
CARS,55494871
ZKH,51704307
CRMG,0
ASLE,32354949
CCLD,25393919
JRVR,35838379
RDI,27833778
USEG,12061298
ETON,22733462
VOC,10890795
HERZ,
CRSR,45109518
RPAY,65868760
AVIR,64314652
RGP,32042177
PESI,14775144
DWTX,1624934
OPINL,2438665
UIS,65821975
CNDT,140220565
FBIOP,5351519
MAGN,34476250
ADBG,0
USAU,11640710
TUSK,46189466
JL,1235131
SEPN,18179589
ZH,37824384
UONE,25323690
ARKO,74844904
CGEN,91554413
BNTC,24554245
GEG,24023102
EWTX,74561791
CTOS,64511374
ANGI,36199774
HGBL,30433502
FLOC,19606169
WNC,39183220
INCR,35372626
ILPT,52302287
USGO,1474399
LSAK,45544026
RMNI,47568869
CATO,14714211
HLLY,50999616
GNE,12442858
CRCT,177504147
TORO,8722606
SBGI,60486185
CLPR,13411589
CLB,46376561
JVA,4981495
INM,1994355
PKOH,9689452
CIA,44541441
XPER,40528064
VREX,40960375
CODI,66401036
CORZZ,284980900
IRS,7622549
LOVE,13039514
SNCY,46262746
MDWD,7435913
PXS,4478024
FBIO,21259447
INGN,23288003
HURC,5889237
LFCR,33468436
CRESY,61372521
SIBN,38329481
LSE,1524997
HYMC,27673937
SEGG,22357562
SHEN,49018773
GILT,56995865
UK,1908989
WOK,13325216
FTLF,7943661
NRC,12450784
NUS,47538086
TOUR,35663649
STKL,109843320
COYY,
SKIL,4161331
MESO,78774417
YJ,4913044
PRO,43610081
BHR,58693584
KZR,6236609
JCAP,11230831
CMPOW,72603452
OSUR,69472397
COHU,45408219
ZYME,72941806
FA,78893957
CAL,32329416
TSL,0
GLBS,15122433
SND,30273644
TWI,47665510
ADTN,68883717
CCG,35270802
IMMP,145551236
LIND,36757294
MED,10470462
HITI,69179392
BRTX,5626407
DAAQW,
DIBS,23825687
HKD,99519475
CDZI,51680007
LXU,53377986
RSKD,122342085
BAND,27506213
QCML,0
PERI,42241650
ANIX,30461908
RZLT,75108431
ANRO,21495703
NTIC,7808265
GOTU,376849980
ARAY,107779694
BON,6852703
TXMD,11339925
GFR,24095280
VHI,2401110
OPRA,27941574
TWIN,10941760
ENFY,8526631
MGIH,1249998
SWIM,41591858
ABEO,45607867
DAPP,0
HGTY,325239026
NESR,47779906
TBRG,14351975
PACS,39102247
AMBC,41775357
MRAM,17101905
NCMI,65866486
EVC,61163175
CEE,6456206
AVNS,44740826
UFI,14874351
TRAK,11964535
JILL,6903804
MTLS,24248185
SYPR,12289521
TH,32003650
EEX,16736637
CHCI,3203902
EMBC,54307761
BAK,203319879
ACTG,94732619
BRY,75227728
KALV,37456283
PBPB,26107086
NRDS,71656769
HQI,5642100
HCM,170418426
KGEI,30884883
ASMG,0
LILA,163779849
FPH,49923793
CULP,11183225
APWC,3925530
WHG,7034552
BOSC,5218383
AMDD,0
ONL,54428711
NRT,8872338
AII,8451370
GDOT,48423633
ESCA,8638880
TCMD,21397272
LITP,0
EVCM,14863427
WTTR,93575661
ZUMZ,14025428
RDAGW,
BBCP,22429574
CMP,33012781
ASRT,92983333
INR,13172209
EGBN,27720762
CINT,125976448
TACT,9083039
BZUN,53257273
HTLD,42903572
MCHB,64057
OIS,56121928
QVCD,
DTST,4085412
INN,102801219
JCTC,2585191
UZF,94742717
SOHU,29928391
QVCC,
BSET,7282832
AUDC,20909734
MDXG,116457345
GDTC,4430227
JYNT,13785154
SNFCA,15386662
SRG,37470503
RBBN,144305361
SKRE,0
IMPP,19755720
AHT,6038894
RMAX,16610899
USEA,7138175
CDRO,15048821
PRAA,37289165
NHTC,7471771
EPRX,27785803
SLP,16268070
LAW,22974617
ABL,36669332
QNST,53253727
VSTA,26709361
ASRV,13539680
PMTRW,
AOUT,10795947
MAMA,33324810
VIRC,13044067
PKST,35715764
YRD,14575263
SKYH,23846877
BHFAM,56526981
EHAB,43873537
AAUC,75072316
IHS,161243373
CLWT,3341522
RSSS,26689068
RNGR,19830184
FNWB,7374913
VMD,33694663
INVX,36918060
BWAY,16789732
JAKK,8354916
NABL,66333951
BTF,0
VLRS,93952153
PBT,41940602
ADEA,106542030
EPSN,19625690
CMDB,9222482
ACRE,50999576
GPRK,32234304
AMRN,20683712
FFWM,71447697
CLCO,21402844
LSPD,122419758
CCRN,30888242
MLP,6628941
FC,10608884
LFT,33100762
GPMT,44243287
KFS,20297740
III,33121393
DHC,216898408
MD,85531837
USCB,10194847
LPL,999930000
BIOA,21048417
CAAS,10837436
PKE,17211881
SKE,90182587
ANTX,16250705
EGY,101358272
NGL,104031788
DSWL,4587632
MUD,
TG,30174771
LUCK,131932655
VNDA,55021406
MFIN,15677367
LAKE,8987243
INSE,24641222
EVO,350605734
ARDT,24472634
LXFR,26389295
SEER,33297517
KROS,33902770
TTAM,24542700
KTCC,10003401
PANL,29999073
MESA,32218121
FVR,18664424
DSX,63370235
DAO,106522440
FINW,8874895
MCS,29294457
MEI,33673050
BHFAN,56526981
IAS,74891942
UZE,95807660
NATR,16194489
MTUS,35616226
MSIF,0
ACEL,50894826
OFIX,38704019
VOXR,43108222
AFRI,5430895
UTZ,69684667
KELYA,30386195
TENX,4139063
KVHI,10325802
ORMP,32894605
DRD,42813881
TSQ,12586692
MTRX,26438709
RSVR,33876564
GMRE,62732354
BLCO,36469761
KMDA,31076449
ONTF,35367093
NOAH,12808174
KEP,1283911308
HCSG,71575102
FF,25317899
MRC,82906847
IEP,29391788
MPX,8517571
GRNT,63425202
LNKB,24169603
GASS,25431472
FKWL,8442355
GROW,12370899
BBDO,7558015485
NODK,6531285
ABUS,148795613
IMXI,27526065
YEXT,98930753
CHMI,35624021
VINP,32413416
ERO,94479967
ERII,51276926
STHO,12796599
INGM,21312093
CEPO,19600009
NEXA,43522501
GBTG,182866274
MYE,36611825
MGIC,25871403
SAFE,49626808
LAND,33650938
BHFAP,163982848
BV,71194549
GLDD,65936266
ACIC,24692260
RVSB,20058574
OSPN,35647779
IMOS,28060965
ASC,38565324
SSSS,21878489
VET,152028070
